LocID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
50,Bangladesh,2,Medium,1950,1950.5,0-4,0,5,3169.321,3068.531,6237.852
50,Bangladesh,2,Medium,1951,1951.5,0-4,0,5,3238.214,3142.251,6380.465
50,Bangladesh,2,Medium,1952,1952.5,0-4,0,5,3272.273,3186.486,6458.759
50,Bangladesh,2,Medium,1953,1953.5,0-4,0,5,3309.422,3232.332,6541.754
50,Bangladesh,2,Medium,1954,1954.5,0-4,0,5,3374.387,3301.539,6675.926
50,Bangladesh,2,Medium,1955,1955.5,0-4,0,5,3479.373,3406.056,6885.429
50,Bangladesh,2,Medium,1956,1956.5,0-4,0,5,3596.771,3526.176,7122.947
50,Bangladesh,2,Medium,1957,1957.5,0-4,0,5,3747.32,3670.266,7417.586
50,Bangladesh,2,Medium,1958,1958.5,0-4,0,5,3919.07,3830.668,7749.738
50,Bangladesh,2,Medium,1959,1959.5,0-4,0,5,4097.98,3998.019,8095.999
50,Bangladesh,2,Medium,1960,1960.5,0-4,0,5,4276.674,4168.295,8444.969
50,Bangladesh,2,Medium,1961,1961.5,0-4,0,5,4500.918,4377.162,8878.08
50,Bangladesh,2,Medium,1962,1962.5,0-4,0,5,4671.789,4539.538,9211.327
50,Bangladesh,2,Medium,1963,1963.5,0-4,0,5,4809.708,4673.761,9483.469
50,Bangladesh,2,Medium,1964,1964.5,0-4,0,5,4948.897,4809.68,9758.577
50,Bangladesh,2,Medium,1965,1965.5,0-4,0,5,5117.328,4972.304,10089.632
50,Bangladesh,2,Medium,1966,1966.5,0-4,0,5,5300.779,5151.129,10451.908
50,Bangladesh,2,Medium,1967,1967.5,0-4,0,5,5497.009,5338.005,10835.014
50,Bangladesh,2,Medium,1968,1968.5,0-4,0,5,5694.567,5524.113,11218.68
50,Bangladesh,2,Medium,1969,1969.5,0-4,0,5,5859.687,5681.261,11540.948
50,Bangladesh,2,Medium,1970,1970.5,0-4,0,5,5964.774,5786.082,11750.856
50,Bangladesh,2,Medium,1971,1971.5,0-4,0,5,6082.811,5901.725,11984.536
50,Bangladesh,2,Medium,1972,1972.5,0-4,0,5,6120.673,5945.983,12066.656
50,Bangladesh,2,Medium,1973,1973.5,0-4,0,5,6107.477,5944.332,12051.809
50,Bangladesh,2,Medium,1974,1974.5,0-4,0,5,6105.616,5951.712,12057.328
50,Bangladesh,2,Medium,1975,1975.5,0-4,0,5,6176.07,6023.785,12199.855
50,Bangladesh,2,Medium,1976,1976.5,0-4,0,5,6293.516,6148.63,12442.146
50,Bangladesh,2,Medium,1977,1977.5,0-4,0,5,6446.848,6292.751,12739.599
50,Bangladesh,2,Medium,1978,1978.5,0-4,0,5,6634.95,6459.807,13094.757
50,Bangladesh,2,Medium,1979,1979.5,0-4,0,5,6834.322,6634.607,13468.929
